,city,lat,lng
1589,Zürich,47.3744,8.5411
3221,Geneva,46.2017,6.1469
3701,Basel,47.5606,7.5906
4453,Lausanne,46.52,6.6333
4641,Bern,46.948,7.4474
5607,Winterthur,47.4992,8.7267
7266,Lucerne,47.0523,8.3059
7586,Sankt Gallen,47.4233,9.3772
9208,Lugano,46.0103,8.9625
10381,Biel/Bienne,47.1372,7.2472
12675,Bellinzona,46.1956,9.0238
12689,Thun,46.759,7.63
13163,Köniz,46.925,7.4153
14023,La Chaux-de-Fonds,47.1028,6.83
14220,Fribourg,46.8,7.15
14746,Uster,47.3492,8.7192
14827,Schaffhausen,47.6965,8.6339
15298,Chur,46.8521,9.5297
15557,Vernier,46.2,6.1
15570,Sion,46.2304,7.3661
16088,Neuchâtel,47.0,6.9333
16733,Landecy,46.1834,6.1166
16946,Zug,47.1681,8.5169
17557,Yverdon-les-Bains,46.7785,6.6408
18033,Emmen,47.0772,8.3
18721,Dübendorf,47.3981,8.6194
19308,Kriens,47.0344,8.28
19311,Rapperswil-Jona,47.2286,8.8317
19345,Dietikon,47.4056,8.4039
19974,Montreux,46.435,6.9125
